team_name,games,games_w_holes,games_w_clashes,steps,hole,clash,all_hole,avg_hole,avg_clash
CYRUS,6,0,0,39392,0,0,0,0.0,0.0
DML-2D,7,0,0,47759,0,0,0,0.0,0.0
Fifty-Storms,8,0,0,55406,0,0,0,0.0,0.0
FRA-UNIted,7,0,0,46627,0,0,0,0.0,0.0
Goli2D,7,0,0,50046,0,0,0,0.0,0.0
Hades2D,7,6,0,53848,12,0,12,1.71,0.0
Haurvatat,6,0,0,41522,0,0,0,0.0,0.0
HELIOS2020,6,0,0,41152,0,0,0,0.0,0.0
HfutEngine,6,0,0,41341,0,0,0,0.0,0.0
JyoSen2020,6,0,0,42141,0,0,0,0.0,0.0
KUTfieldstar,6,0,0,40332,0,0,0,0.0,0.0
opuHam2020,6,0,0,40931,0,0,0,0.0,0.0
opuSCOM2020,8,0,0,53384,0,0,0,0.0,0.0
Persepolis,7,0,0,48069,0,0,0,0.0,0.0
Ri-one,7,0,0,47447,0,0,0,0.0,0.0
Ri-two,6,0,0,41042,0,0,0,0.0,0.0
Shibaura,6,0,0,41211,0,0,0,0.0,0.0
Total,112,6,0,771650,12,0,12,0.11,0.0
